mtype,entry,value
L23_MC,axon.orientation.values.direction.std,0.5
L23_MC,axon.targeting,0.2
L23_MC,axon.randomness,0.2
L23_MC,axon.step_size.norm.std,0.0
L23_MC,axon.growth_method,tmd_gradient
L23_MC,axon.bias,1.0
L23_MC,axon.bias_length,0.7

L23_SBC,basal_dendrite.orientation.mode,pia_constraint
L23_SBC,basal_dendrite.orientation.values.form,double_step
L23_SBC,basal_dendrite.step_size.norm.std,0.0
L23_SBC,axon.orientation.mode,normal_pia_constraint
L23_SBC,axon.orientation.values.direction.mean,1.5
L23_SBC,axon.orientation.values.direction.std,0.5
L23_SBC,axon.targeting,0.2
L23_SBC,axon.randomness,0.2
L23_SBC,axon.step_size.norm.std,0.0

L23_NBC,basal_dendrite.orientation.mode,pia_constraint
L23_NBC,basal_dendrite.step_size.norm.std,0.0
L23_NBC,axon.orientation.mode,normal_pia_constraint
L23_NBC,axon.orientation.values.direction.mean,0.5
L23_NBC,axon.orientation.values.direction.std,1.0
L23_NBC,axon.targeting,0.2
L23_NBC,axon.randomness,0.2
L23_NBC,axon.step_size.norm.std,0.0

L23_NGC,basal_dendrite.orientation.mode,pia_constraint
L23_NGC,basal_dendrite.step_size.norm.std,0.0
L23_NGC,axon.orientation.mode,normal_pia_constraint
L23_NGC,axon.orientation.values.direction.mean,0.5
L23_NGC,axon.orientation.values.direction.std,1.0
L23_NGC,axon.targeting,0.2
L23_NGC,axon.randomness,0.2
L23_NGC,axon.step_size.norm.std,0.0

L23_BP,basal_dendrite.orientation.mode,pia_constraint
L23_BP,basal_dendrite.orientation.values.form,double_step
L23_BP,basal_dendrite.step_size.norm.std,0.0
L23_BP,axon.orientation.mode,normal_pia_constraint
L23_BP,axon.orientation.values.direction.mean,3.1415
L23_BP,axon.orientation.values.direction.std,0.0
L23_BP,axon.targeting,0.2
L23_BP,axon.randomness,0.2
L23_BP,axon.step_size.norm.std,0.0
L23_BP,axon.growth_method,tmd_gradient
L23_BP,axon.bias,1.0
L23_BP,axon.bias_length,0.3

L23_DBC,basal_dendrite.orientation.mode,pia_constraint
L23_DBC,basal_dendrite.step_size.norm.std,0.0
L23_DBC,axon.orientation.mode,normal_pia_constraint
L23_DBC,axon.orientation.values.direction.mean,3.1415
L23_DBC,axon.orientation.values.direction.std,0.2
L23_DBC,axon.targeting,0.2
L23_DBC,axon.randomness,0.2
L23_DBC,axon.step_size.norm.std,0.0
L23_DBC,axon.growth_method,tmd_gradient
L23_DBC,axon.bias,1.0
L23_DBC,axon.bias_length,0.7

L2_IPC,apical_dendrite.branching_method,bio_oriented
L2_IPC,apical_dendrite.apical_distance,0.0
L2_IPC,apical_dendrite.has_apical_tuft,True
L2_IPC,apical_dendrite.orientation.mode,normal_pia_constraint
L2_IPC,apical_dendrite.orientation.values.direction.mean,3.1415
L2_IPC,apical_dendrite.orientation.values.direction.std,0.3
L2_IPC,grow_types[0],apical_dendrite
L2_IPC,grow_types[1],basal_dendrite
L2_IPC,basal_dendrite.orientation.mode,apical_constraint
L2_IPC,axon.orientation.mode,normal_pia_constraint
L2_IPC,axon.orientation.values.direction.mean,3.1415
L2_IPC,axon.orientation.values.direction.std,0.2
L2_IPC,axon.targeting,0.2
L2_IPC,axon.randomness,0.2
L2_IPC,axon.step_size.norm.std,0.0
L2_IPC,axon.growth_method,tmd_gradient
L2_IPC,axon.bias,1.0
L2_IPC,axon.bias_length,0.7

L2_TPC:A,apical_dendrite.apical_distance,0.0
L2_TPC:A,apical_dendrite.has_apical_tuft,True
L2_TPC:A,apical_dendrite.orientation.mode,normal_pia_constraint
L2_TPC:A,apical_dendrite.orientation.values.direction.mean,0.0
L2_TPC:A,apical_dendrite.orientation.values.direction.std,0.0
L2_TPC:A,basal_dendrite.orientation.mode,pia_constraint
L2_TPC:A,axon.orientation.mode,normal_pia_constraint
L2_TPC:A,axon.orientation.values.direction.mean,3.1415
L2_TPC:A,axon.orientation.values.direction.std,0.2
L2_TPC:A,axon.targeting,0.2
L2_TPC:A,axon.randomness,0.2
L2_TPC:A,axon.step_size.norm.std,0.0
L2_TPC:A,axon.growth_method,tmd_gradient
L2_TPC:A,axon.bias,1.0
L2_TPC:A,axon.bias_length,0.7

L2_TPC:B,apical_dendrite.branching_method,bio_oriented
L2_TPC:B,apical_dendrite.growth_method,tmd_gradient
L2_TPC:B,apical_dendrite.apical_distance,0.0
L2_TPC:B,apical_dendrite.bias,0.6
L2_TPC:B,apical_dendrite.bias_length,0.25
L2_TPC:B,apical_dendrite.has_apical_tuft,True
L2_TPC:B,apical_dendrite.orientation.mode,normal_pia_constraint
L2_TPC:B,apical_dendrite.orientation.values.direction.mean,0.0
L2_TPC:B,apical_dendrite.orientation.values.direction.std,0.0
L2_TPC:B,basal_dendrite.orientation.mode,pia_constraint
L2_TPC:B,axon.orientation.mode,normal_pia_constraint
L2_TPC:B,axon.orientation.values.direction.mean,3.1415
L2_TPC:B,axon.orientation.values.direction.std,0.2
L2_TPC:B,axon.targeting,0.2
L2_TPC:B,axon.randomness,0.2
L2_TPC:B,axon.step_size.norm.std,0.0
L2_TPC:B,axon.growth_method,tmd_gradient
L2_TPC:B,axon.bias,1.0
L2_TPC:B,axon.bias_length,0.7

L3_TPC:A,apical_dendrite.has_apical_tuft,True
L3_TPC:A,apical_dendrite.growth_method,tmd_gradient
L3_TPC:A,apical_dendrite.bias,0.6
L3_TPC:A,apical_dendrite.apical_distance,0.0
L3_TPC:A,apical_dendrite.branching_method,bio_oriented
L3_TPC:A,apical_dendrite.bias_length,0.2
L3_TPC:A,apical_dendrite.orientation.mode,normal_pia_constraint
L3_TPC:A,apical_dendrite.orientation.values.direction.mean,0.0
L3_TPC:A,apical_dendrite.orientation.values.direction.std,0.0
L3_TPC:A,basal_dendrite.orientation.mode,pia_constraint
L3_TPC:A,axon.orientation.mode,normal_pia_constraint
L3_TPC:A,axon.orientation.values.direction.mean,3.1415
L3_TPC:A,axon.orientation.values.direction.std,0.2
L3_TPC:A,axon.targeting,0.2
L3_TPC:A,axon.randomness,0.2
L3_TPC:A,axon.step_size.norm.std,0.0
L3_TPC:A,axon.growth_method,tmd_gradient
L3_TPC:A,axon.bias,1.0
L3_TPC:A,axon.bias_length,0.7

L3_TPC:C,apical_dendrite.has_apical_tuft,True
L3_TPC:C,apical_dendrite.bias,0.6
L3_TPC:C,apical_dendrite.apical_distance,0.0
L3_TPC:C,apical_dendrite.growth_method,tmd_gradient
L3_TPC:C,apical_dendrite.branching_method,bio_oriented
L3_TPC:C,apical_dendrite.bias_length,0.4
L3_TPC:C,apical_dendrite.orientation.mode,normal_pia_constraint
L3_TPC:C,apical_dendrite.orientation.values.direction.mean,0.0
L3_TPC:C,apical_dendrite.orientation.values.direction.std,0.0
L3_TPC:C,basal_dendrite.orientation.mode,pia_constraint
L3_TPC:C,axon.orientation.mode,normal_pia_constraint
L3_TPC:C,axon.orientation.values.direction.mean,3.1415
L3_TPC:C,axon.orientation.values.direction.std,0.2
L3_TPC:C,axon.targeting,0.2
L3_TPC:C,axon.randomness,0.2
L3_TPC:C,axon.step_size.norm.std,0.0
L3_TPC:C,axon.growth_method,tmd_gradient
L3_TPC:C,axon.bias,1.0
L3_TPC:C,axon.bias_length,0.7

L4_ChC,basal_dendrite.orientation.mode,pia_constraint
L4_ChC,basal_dendrite.step_size.norm.std,0.0
L4_ChC,axon.orientation.mode,normal_pia_constraint
L4_ChC,axon.orientation.values.direction.mean,3.1415
L4_ChC,axon.orientation.values.direction.std,0.7
L4_ChC,axon.targeting,0.2
L4_ChC,axon.randomness,0.2
L4_ChC,axon.step_size.norm.std,0.0

L4_BP,basal_dendrite.orientation.mode,normal_pia_constraint
L4_BP,basal_dendrite.orientation.values.direction.mean,3.1415
L4_BP,basal_dendrite.orientation.values.direction.std,0.1
L4_BP,basal_dendrite.step_size.norm.std,0.0
L4_BP,axon.orientation.mode,normal_pia_constraint
L4_BP,axon.orientation.values.direction.mean,0
L4_BP,axon.orientation.values.direction.std,0.1
L4_BP,axon.targeting,0.2
L4_BP,axon.randomness,0.2
L4_BP,axon.step_size.norm.std,0.0
L4_BP,axon.growth_method,tmd_gradient
L4_BP,axon.bias,1.0
L4_BP,axon.bias_length,0.3

L4_BTC,basal_dendrite.orientation.mode,pia_constraint
L4_BTC,basal_dendrite.orientation.values.form,double_step
L4_BTC,basal_dendrite.step_size.norm.std,0.0
L4_BTC,axon.orientation.mode,normal_pia_constraint
L4_BTC,axon.orientation.values.direction.mean,3.1415
L4_BTC,axon.orientation.values.direction.std,0.2
L4_BTC,axon.targeting,0.2
L4_BTC,axon.randomness,0.2
L4_BTC,axon.step_size.norm.std,0.0
L4_BTC,axon.growth_method,tmd_gradient
L4_BTC,axon.bias,1.0
L4_BTC,axon.bias_length,0.7

L4_NBC,basal_dendrite.orientation.mode,pia_constraint
L4_NBC,basal_dendrite.step_size.norm.std,0.0
L4_NBC,axon.orientation.mode,normal_pia_constraint
L4_NBC,axon.orientation.values.direction.mean,0.5
L4_NBC,axon.orientation.values.direction.std,1.0
L4_NBC,axon.targeting,0.2
L4_NBC,axon.randomness,0.2
L4_NBC,axon.step_size.norm.std,0.0

L4_NGC,basal_dendrite.orientation.mode,pia_constraint
L4_NGC,axon.orientation.mode,normal_pia_constraint
L4_NGC,axon.orientation.values.direction.mean,2.5
L4_NGC,axon.orientation.values.direction.std,0.5
L4_NGC,axon.targeting,0.2
L4_NGC,axon.randomness,0.2
L4_NGC,axon.step_size.norm.std,0.0

L4_SBC,basal_dendrite.orientation.mode,pia_constraint
L4_SBC,basal_dendrite.orientation.values.form,double_step
L4_SBC,basal_dendrite.step_size.norm.std,0.0
L4_SBC,axon.orientation.mode,normal_pia_constraint
L4_SBC,axon.orientation.values.direction.mean,1.5
L4_SBC,axon.orientation.values.direction.std,0.5
L4_SBC,axon.targeting,0.2
L4_SBC,axon.randomness,0.2
L4_SBC,axon.step_size.norm.std,0.0

L4_SSC,basal_dendrite.orientation.mode,pia_constraint
L4_SSC,basal_dendrite.step_size.norm.std,0.0
L4_SSC,axon.orientation.mode,normal_pia_constraint
L4_SSC,axon.orientation.values.direction.mean,3.1415
L4_SSC,axon.orientation.values.direction.std,0.5
L4_SSC,axon.targeting,0.2
L4_SSC,axon.randomness,0.2
L4_SSC,axon.step_size.norm.std,0.0
L4_SSC,axon.growth_method,tmd_gradient
L4_SSC,axon.bias,1.0
L4_SSC,axon.bias_length,0.7

L4_DBC,basal_dendrite.orientation.mode,pia_constraint
L4_DBC,basal_dendrite.orientation.values.form,double_step
L4_DBC,basal_dendrite.step_size.norm.std,0.0
L4_DBC,axon.orientation.mode,normal_pia_constraint
L4_DBC,axon.orientation.values.direction.mean,3.1415
L4_DBC,axon.orientation.values.direction.std,0.2
L4_DBC,axon.targeting,0.2
L4_DBC,axon.randomness,0.2
L4_DBC,axon.step_size.norm.std,0.0
L4_DBC,axon.growth_method,tmd_gradient
L4_DBC,axon.bias,1.0
L4_DBC,axon.bias_length,0.7

L4_LBC,basal_dendrite.orientation.mode,pia_constraint
L4_LBC,basal_dendrite.orientation.values.form,double_step
L4_LBC,basal_dendrite.orientation.mode,pia_constraint
L4_LBC,basal_dendrite.orientation.values.form,double_step
L4_LBC,basal_dendrite.step_size.norm.std,0.0
L4_LBC,axon.orientation.mode,normal_pia_constraint
L4_LBC,axon.orientation.values.direction.mean,0.5
L4_LBC,axon.orientation.values.direction.std,1.5
L4_LBC,axon.targeting,0.2
L4_LBC,axon.randomness,0.2
L4_LBC,axon.step_size.norm.std,0.0
L4_LBC,axon.growth_method,tmd_gradient
L4_LBC,axon.bias,1.0
L4_LBC,axon.bias_length,0.7

L4_MC,basal_dendrite.orientation.mode,pia_constraint
L4_MC,basal_dendrite.orientation.values.form,double_step
L4_MC,basal_dendrite.step_size.norm.std,0.0
L4_MC,axon.orientation.mode,normal_pia_constraint
L4_MC,axon.orientation.values.direction.mean,0
L4_MC,axon.orientation.values.direction.std,0.5
L4_MC,axon.targeting,0.2
L4_MC,axon.randomness,0.2
L4_MC,axon.step_size.norm.std,0.0
L4_MC,axon.growth_method,tmd_gradient
L4_MC,axon.bias,1.0
L4_MC,axon.bias_length,0.7

L4_TPC,apical_dendrite.branching_method,bio_oriented
L4_TPC,apical_dendrite.apical_distance,0.0
L4_TPC,apical_dendrite.has_apical_tuft,True
L4_TPC,apical_dendrite.orientation.mode,normal_pia_constraint
L4_TPC,apical_dendrite.orientation.values.direction.mean,0.0
L4_TPC,apical_dendrite.orientation.values.direction.std,0.0
L4_TPC,basal_dendrite.orientation.mode,pia_constraint
L4_TPC,axon.orientation.mode,normal_pia_constraint
L4_TPC,axon.orientation.values.direction.mean,3.1415
L4_TPC,axon.orientation.values.direction.std,0.2
L4_TPC,axon.targeting,0.2
L4_TPC,axon.randomness,0.2
L4_TPC,axon.step_size.norm.std,0.0
L4_TPC,axon.growth_method,tmd_gradient
L4_TPC,axon.bias,1.0
L4_TPC,axon.bias_length,0.7


L4_UPC,apical_dendrite.apical_distance,0.0
L4_UPC,apical_dendrite.has_apical_tuft,False
L4_UPC,apical_dendrite.orientation.mode,normal_pia_constraint
L4_UPC,apical_dendrite.orientation.values.direction.mean,0.0
L4_UPC,apical_dendrite.orientation.values.direction.std,0.0
L4_UPC,basal_dendrite.orientation.mode,pia_constraint
L4_UPC,axon.orientation.mode,normal_pia_constraint
L4_UPC,axon.orientation.values.direction.mean,3.1415
L4_UPC,axon.orientation.values.direction.std,0.2
L4_UPC,axon.targeting,0.2
L4_UPC,axon.randomness,0.2
L4_UPC,axon.step_size.norm.std,0.0
L4_UPC,axon.growth_method,tmd_gradient
L4_UPC,axon.bias,1.0
L4_UPC,axon.bias_length,0.7

L5_NGC,basal_dendrite.orientation.mode,pia_constraint
L5_NGC,axon.orientation.mode,normal_pia_constraint
L5_NGC,axon.orientation.values.direction.mean,2.5
L5_NGC,axon.orientation.values.direction.std,0.5
L5_NGC,axon.targeting,0.2
L5_NGC,axon.randomness,0.2
L5_NGC,axon.step_size.norm.std,0.0

L5_ChC,basal_dendrite.orientation.mode,pia_constraint
L5_ChC,basal_dendrite.step_size.norm.std,0.0
L5_ChC,axon.orientation.mode,normal_pia_constraint
L5_ChC,axon.orientation.values.direction.mean,3.1415
L5_ChC,axon.orientation.values.direction.std,0.7
L5_ChC,axon.targeting,0.2
L5_ChC,axon.randomness,0.2
L5_ChC,axon.step_size.norm.std,0.0

L5_BP,basal_dendrite.orientation.mode,normal_pia_constraint
L5_BP,basal_dendrite.orientation.values.direction.mean,3.1415
L5_BP,basal_dendrite.orientation.values.direction.std,0.1
L5_BP,basal_dendrite.step_size.norm.std,0.0
L5_BP,axon.orientation.mode,normal_pia_constraint
L5_BP,axon.orientation.values.direction.mean,0
L5_BP,axon.orientation.values.direction.std,0.1
L5_BP,axon.targeting,0.2
L5_BP,axon.randomness,0.2
L5_BP,axon.step_size.norm.std,0.0
L5_BP,axon.growth_method,tmd_gradient
L5_BP,axon.bias,1.0
L5_BP,axon.bias_length,0.3


L5_DBC,basal_dendrite.orientation.mode,pia_constraint
L5_DBC,basal_dendrite.orientation.values.form,double_step
L5_DBC,basal_dendrite.step_size.norm.std,0.0
L5_DBC,axon.orientation.mode,normal_pia_constraint
L5_DBC,axon.orientation.values.direction.mean,3.1415
L5_DBC,axon.orientation.values.direction.std,0.2
L5_DBC,axon.targeting,0.2
L5_DBC,axon.randomness,0.2
L5_DBC,axon.step_size.norm.std,0.0
L5_DBC,axon.growth_method,tmd_gradient
L5_DBC,axon.bias,1.0
L5_DBC,axon.bias_length,0.7

L5_LBC,basal_dendrite.orientation.mode,pia_constraint
L5_LBC,basal_dendrite.orientation.values.form,double_step
L5_LBC,basal_dendrite.orientation.mode,pia_constraint
L5_LBC,basal_dendrite.orientation.values.form,double_step
L5_LBC,basal_dendrite.step_size.norm.std,0.0
L5_LBC,axon.orientation.mode,normal_pia_constraint
L5_LBC,axon.orientation.values.direction.mean,0.5
L5_LBC,axon.orientation.values.direction.std,1.5
L5_LBC,axon.targeting,0.2
L5_LBC,axon.randomness,0.2
L5_LBC,axon.step_size.norm.std,0.0
L5_LBC,axon.growth_method,tmd_gradient
L5_LBC,axon.bias,1.0
L5_LBC,axon.bias_length,0.7

L5_SBC,basal_dendrite.orientation.mode,pia_constraint
L5_SBC,basal_dendrite.orientation.values.form,double_step
L5_SBC,basal_dendrite.step_size.norm.std,0.0
L5_SBC,axon.orientation.mode,normal_pia_constraint
L5_SBC,axon.orientation.values.direction.mean,1.5
L5_SBC,axon.orientation.values.direction.std,0.5
L5_SBC,axon.targeting,0.2
L5_SBC,axon.randomness,0.2
L5_SBC,axon.step_size.norm.std,0.0

L5_NBC,basal_dendrite.orientation.mode,pia_constraint
L5_NBC,basal_dendrite.orientation.values.form,double_step
L5_NBC,basal_dendrite.step_size.norm.std,0.0
L5_NBC,axon.orientation.mode,normal_pia_constraint
L5_NBC,axon.orientation.values.direction.mean,0.5
L5_NBC,axon.orientation.values.direction.std,1.0
L5_NBC,axon.targeting,0.2
L5_NBC,axon.randomness,0.2
L5_NBC,axon.step_size.norm.std,0.0

L5_BTC,basal_dendrite.orientation.mode,pia_constraint
L5_BTC,basal_dendrite.orientation.values.form,double_step
L5_BTC,basal_dendrite.step_size.norm.std,0.0
L5_BTC,axon.orientation.mode,normal_pia_constraint
L5_BTC,axon.orientation.values.direction.mean,3.1415
L5_BTC,axon.orientation.values.direction.std,0.2
L5_BTC,axon.targeting,0.2
L5_BTC,axon.randomness,0.2
L5_BTC,axon.step_size.norm.std,0.0
L5_BTC,axon.growth_method,tmd_gradient
L5_BTC,axon.bias,1.0
L5_BTC,axon.bias_length,0.7

L5_MC,basal_dendrite.orientation.mode,pia_constraint
L5_MC,basal_dendrite.orientation.values.form,double_step
L5_MC,basal_dendrite.step_size.norm.std,0.0
L5_MC,axon.orientation.mode,normal_pia_constraint
L5_MC,axon.orientation.values.direction.mean,0
L5_MC,axon.orientation.values.direction.std,0.5
L5_MC,axon.targeting,0.2
L5_MC,axon.randomness,0.2
L5_MC,axon.step_size.norm.std,0.0
L5_MC,axon.growth_method,tmd_gradient
L5_MC,axon.bias,1.0
L5_MC,axon.bias_length,0.7

L5_TPC:A,apical_dendrite.bias,0.5
L5_TPC:A,apical_dendrite.growth_method,tmd_gradient
L5_TPC:A,apical_dendrite.branching_method,bio_oriented
L5_TPC:A,apical_dendrite.targeting,0.16
L5_TPC:A,apical_dendrite.apical_distance,0.0
L5_TPC:A,apical_dendrite.bias_length,0.2
L5_TPC:A,apical_dendrite.has_apical_tuft,True
L5_TPC:A,apical_dendrite.orientation.mode,normal_pia_constraint
L5_TPC:A,apical_dendrite.orientation.values.direction.mean,0.0
L5_TPC:A,apical_dendrite.orientation.values.direction.std,0.0
L5_TPC:A,basal_dendrite.orientation.mode,pia_constraint
L5_TPC:A,basal_dendrite.targeting,0.16
L5_TPC:A,axon.orientation.mode,normal_pia_constraint
L5_TPC:A,axon.orientation.values.direction.mean,3.1415
L5_TPC:A,axon.orientation.values.direction.std,0.2
L5_TPC:A,axon.targeting,0.2
L5_TPC:A,axon.randomness,0.2
L5_TPC:A,axon.step_size.norm.std,0.0
L5_TPC:A,axon.growth_method,tmd_gradient
L5_TPC:A,axon.bias,0.5
L5_TPC:A,axon.bias_length,1.0
L5_TPC:A,axon.major_termination_length,1000

L5_TPC:B,apical_dendrite.branching_method,bio_oriented
L5_TPC:B,apical_dendrite.growth_method,tmd_gradient
L5_TPC:B,apical_dendrite.randomness,0.26
L5_TPC:B,apical_dendrite.apical_distance,0.0
L5_TPC:B,basal_dendrite.randomness,0.26
L5_TPC:B,apical_dendrite.has_apical_tuft,True
L5_TPC:B,apical_dendrite.bias_length,0.3
L5_TPC:B,apical_dendrite.bias,0.7
L5_TPC:B,apical_dendrite.orientation.mode,normal_pia_constraint
L5_TPC:B,apical_dendrite.orientation.values.direction.mean,0.0
L5_TPC:B,apical_dendrite.orientation.values.direction.std,0.0
L5_TPC:B,basal_dendrite.orientation.mode,pia_constraint
L5_TPC:B,axon.orientation.mode,normal_pia_constraint
L5_TPC:B,axon.orientation.values.direction.mean,3.1415
L5_TPC:B,axon.orientation.values.direction.std,0.2
L5_TPC:B,axon.targeting,0.2
L5_TPC:B,axon.randomness,0.2
L5_TPC:B,axon.step_size.norm.std,0.0
L5_TPC:B,axon.growth_method,tmd_gradient
L5_TPC:B,axon.bias,0.5
L5_TPC:B,axon.bias_length,1.0
L5_TPC:B,axon.major_termination_length,1000

L5_TPC:C,apical_dendrite.bias,0.3
L5_TPC:C,basal_dendrite.targeting,0.16
L5_TPC:C,apical_dendrite.apical_distance,0.0
L5_TPC:C,apical_dendrite.targeting,0.16
L5_TPC:C,apical_dendrite.growth_method,tmd_gradient
L5_TPC:C,apical_dendrite.branching_method,bio_oriented
L5_TPC:C,apical_dendrite.bias_length,0.15
L5_TPC:C,apical_dendrite.has_apical_tuft,True
L5_TPC:C,apical_dendrite.orientation.mode,normal_pia_constraint
L5_TPC:C,apical_dendrite.orientation.values.direction.mean,0.0
L5_TPC:C,apical_dendrite.orientation.values.direction.std,0.0
L5_TPC:C,basal_dendrite.orientation.mode,pia_constraint
L5_TPC:C,axon.orientation.mode,normal_pia_constraint
L5_TPC:C,axon.orientation.values.direction.mean,3.1415
L5_TPC:C,axon.orientation.values.direction.std,0.2
L5_TPC:C,axon.targeting,0.2
L5_TPC:C,axon.randomness,0.2
L5_TPC:C,axon.step_size.norm.std,0.0
L5_TPC:C,axon.growth_method,tmd_gradient
L5_TPC:C,axon.bias,0.5
L5_TPC:C,axon.bias_length,1.0
L5_TPC:C,axon.major_termination_length,1000

L5_UPC,apical_dendrite.randomness,0.34
L5_UPC,apical_dendrite.targeting,0.24
L5_UPC,apical_dendrite.apical_distance,0.0
L5_UPC,apical_dendrite.orientation.mode,normal_pia_constraint
L5_UPC,apical_dendrite.orientation.values.direction.mean,0.0
L5_UPC,apical_dendrite.orientation.values.direction.std,0.0
L5_UPC,basal_dendrite.orientation.mode,pia_constraint
L5_UPC,axon.orientation.mode,normal_pia_constraint
L5_UPC,axon.orientation.values.direction.mean,3.1415
L5_UPC,axon.orientation.values.direction.std,0.2
L5_UPC,axon.targeting,0.2
L5_UPC,axon.randomness,0.2
L5_UPC,axon.step_size.norm.std,0.0
L5_UPC,axon.growth_method,tmd_gradient
L5_UPC,axon.bias,0.5
L5_UPC,axon.bias_length,1.0
L5_UPC,axon.major_termination_length,1000

L6_BPC,basal_dendrite.randomness,0.26
L6_BPC,apical_dendrite.branching_method,bio_oriented
L6_BPC,apical_dendrite.growth_method,tmd_gradient
L6_BPC,apical_dendrite.randomness,0.26
L6_BPC,apical_dendrite.apical_distance,0.0
L6_BPC,apical_dendrite.bias,0.4
L6_BPC,apical_dendrite.bias_length,0.3
L6_BPC,apical_dendrite.has_apical_tuft,True
L6_BPC,apical_dendrite.orientation.mode,normal_pia_constraint
L6_BPC,apical_dendrite.orientation.values.direction.mean[0],0.0
L6_BPC,apical_dendrite.orientation.values.direction.std[0],0.2
L6_BPC,apical_dendrite.orientation.values.direction.mean[1],2.5
L6_BPC,apical_dendrite.orientation.values.direction.std[1],0.3
L6_BPC,basal_dendrite.orientation.mode,pia_constraint
L6_BPC,axon.orientation.mode,normal_pia_constraint
L6_BPC,axon.orientation.values.direction.mean,3.1415
L6_BPC,axon.orientation.values.direction.std,0.2
